,id,subscriber_id,booking_status,booking_date,date,month,booking_year_month,datetime_load
0,0,156,Confirmed,2021-06-05 15:10:26,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
1,1,256,Confirmed,2021-05-29 12:30:04,2021-05-29,05,2021-05,2023-03-01 08:50:01.670725
2,2,256,Canceled,2021-05-16 0:02:29,2021-05-16,05,2021-05,2023-03-01 08:50:01.670725
3,3,156,Confirmed,2021-06-05 18:35:53,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
4,4,156,Confirmed,2021-06-05 18:52:21,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
5,5,256,Confirmed,2021-06-05 19:00:06,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
6,6,256,Confirmed,2021-06-06 13:32:37,2021-06-06,06,2021-06,2023-03-01 08:50:01.670725
7,7,156,Confirmed,2020-01-13 5:45:16,2020-01-13,01,2020-01,2023-03-01 08:50:01.670725
8,8,156,Canceled,2020-07-02 21:10:51,2020-07-02,07,2020-07,2023-03-01 08:50:01.670725
9,9,256,Confirmed,2020-01-02 19:54:28,2020-01-02,01,2020-01,2023-03-01 08:50:01.670725
10,10,256,Canceled,2020-03-31 6:22:37,2020-03-31,03,2020-03,2023-03-01 08:50:01.670725
11,11,256,Confirmed,2021-03-19 19:34:26,2021-03-19,03,2021-03,2023-03-01 08:50:01.670725
12,12,256,Confirmed,2020-07-26 12:48:32,2020-07-26,07,2020-07,2023-03-01 08:50:01.670725
13,13,156,Canceled,2020-03-16 1:12:08,2020-03-16,03,2020-03,2023-03-01 08:50:01.670725
14,14,156,Canceled,2020-04-03 22:01:17,2020-04-03,04,2020-04,2023-03-01 08:50:01.670725
15,15,256,Canceled,2020-05-15 20:21:25,2020-05-15,05,2020-05,2023-03-01 08:50:01.670725
16,16,156,Confirmed,2020-08-15 19:14:10,2020-08-15,08,2020-08,2023-03-01 08:50:01.670725
17,17,156,Canceled,2020-01-11 21:43:31,2020-01-11,01,2020-01,2023-03-01 08:50:01.670725
18,18,156,Canceled,2020-05-04 11:48:53,2020-05-04,05,2020-05,2023-03-01 08:50:01.670725
19,19,256,Canceled,2020-03-10 11:01:12,2020-03-10,03,2020-03,2023-03-01 08:50:01.670725
20,20,156,Canceled,2020-07-03 7:18:09,2020-07-03,07,2020-07,2023-03-01 08:50:01.670725
21,21,256,Canceled,2021-03-18 21:12:09,2021-03-18,03,2021-03,2023-03-01 08:50:01.670725
22,22,256,Canceled,2020-03-02 20:30:28,2020-03-02,03,2020-03,2023-03-01 08:50:01.670725
23,23,156,Canceled,2020-06-08 21:04:58,2020-06-08,06,2020-06,2023-03-01 08:50:01.670725
24,24,256,Canceled,2020-02-26 10:40:11,2020-02-26,02,2020-02,2023-03-01 08:50:01.670725
25,25,156,Canceled,2020-03-29 21:30:53,2020-03-29,03,2020-03,2023-03-01 08:50:01.670725
26,26,156,Confirmed,2020-01-14 16:08:44,2020-01-14,01,2020-01,2023-03-01 08:50:01.670725
27,27,256,Canceled,2020-01-16 14:13:42,2020-01-16,01,2020-01,2023-03-01 08:50:01.670725
28,28,256,Canceled,2020-07-12 12:49:01,2020-07-12,07,2020-07,2023-03-01 08:50:01.670725
29,29,256,Canceled,2020-03-18 11:29:25,2020-03-18,03,2020-03,2023-03-01 08:50:01.670725
30,30,256,Canceled,2020-01-15 20:59:17,2020-01-15,01,2020-01,2023-03-01 08:50:01.670725
31,31,156,Canceled,2020-06-13 10:11:05,2020-06-13,06,2020-06,2023-03-01 08:50:01.670725
32,32,156,Canceled,2020-05-03 8:55:12,2020-05-03,05,2020-05,2023-03-01 08:50:01.670725
33,33,256,Canceled,2020-03-14 21:59:10,2020-03-14,03,2020-03,2023-03-01 08:50:01.670725
34,34,256,Canceled,2020-06-13 16:54:57,2020-06-13,06,2020-06,2023-03-01 08:50:01.670725
35,35,256,Canceled,2020-03-22 15:25:17,2020-03-22,03,2020-03,2023-03-01 08:50:01.670725
36,36,256,Canceled,2020-07-13 9:01:48,2020-07-13,07,2020-07,2023-03-01 08:50:01.670725
37,37,156,Canceled,2020-03-27 17:11:08,2020-03-27,03,2020-03,2023-03-01 08:50:01.670725
38,38,156,Review,2020-06-03 13:40:41,2020-06-03,06,2020-06,2023-03-01 08:50:01.670725
39,39,256,Confirmed,2021-02-25 18:46:56,2021-02-25,02,2021-02,2023-03-01 08:50:01.670725
40,40,256,Confirmed,2020-03-12 12:48:38,2020-03-12,03,2020-03,2023-03-01 08:50:01.670725
41,41,156,Canceled,2020-09-15 18:05:54,2020-09-15,09,2020-09,2023-03-01 08:50:01.670725
42,42,256,Confirmed,2020-06-07 11:56:28,2020-06-07,06,2020-06,2023-03-01 08:50:01.670725
43,43,256,Confirmed,2021-02-28 21:49:09,2021-02-28,02,2021-02,2023-03-01 08:50:01.670725
44,44,156,Canceled,2020-01-17 6:33:10,2020-01-17,01,2020-01,2023-03-01 08:50:01.670725
45,45,256,Confirmed,2020-08-24 16:05:52,2020-08-24,08,2020-08,2023-03-01 08:50:01.670725
46,46,156,Review,2021-01-03 20:24:35,2021-01-03,01,2021-01,2023-03-01 08:50:01.670725
47,47,256,Confirmed,2020-03-01 15:52:41,2020-03-01,03,2020-03,2023-03-01 08:50:01.670725
48,48,156,Canceled,2020-08-04 15:28:24,2020-08-04,08,2020-08,2023-03-01 08:50:01.670725
49,49,256,Confirmed,2020-03-18 2:27:09,2020-03-18,03,2020-03,2023-03-01 08:50:01.670725
50,50,256,Review,2020-07-31 12:31:42,2020-07-31,07,2020-07,2023-03-01 08:50:01.670725
51,51,156,Confirmed,2020-05-07 17:32:22,2020-05-07,05,2020-05,2023-03-01 08:50:01.670725
52,52,256,Canceled,2020-05-05 20:37:50,2020-05-05,05,2020-05,2023-03-01 08:50:01.670725
53,53,256,Canceled,2020-03-28 7:36:13,2020-03-28,03,2020-03,2023-03-01 08:50:01.670725
54,54,256,Review,2020-05-22 22:29:46,2020-05-22,05,2020-05,2023-03-01 08:50:01.670725
55,55,256,Canceled,2021-04-07 13:28:55,2021-04-07,04,2021-04,2023-03-01 08:50:01.670725
56,56,256,Confirmed,2020-03-02 3:53:06,2020-03-02,03,2020-03,2023-03-01 08:50:01.670725
57,57,156,Confirmed,2020-11-02 12:50:20,2020-11-02,11,2020-11,2023-03-01 08:50:01.670725
58,58,256,Confirmed,2021-05-13 19:09:49,2021-05-13,05,2021-05,2023-03-01 08:50:01.670725
59,59,156,Review,2020-02-21 21:27:52,2020-02-21,02,2020-02,2023-03-01 08:50:01.670725
60,60,156,Canceled,2020-02-07 10:44:18,2020-02-07,02,2020-02,2023-03-01 08:50:01.670725
61,61,256,Confirmed,2020-08-22 13:42:17,2020-08-22,08,2020-08,2023-03-01 08:50:01.670725
62,62,156,Canceled,2020-03-24 0:19:04,2020-03-24,03,2020-03,2023-03-01 08:50:01.670725
63,63,256,Review,2020-07-01 12:54:05,2020-07-01,07,2020-07,2023-03-01 08:50:01.670725
64,64,156,Canceled,2020-08-19 15:24:48,2020-08-19,08,2020-08,2023-03-01 08:50:01.670725
65,65,256,Review,2020-01-27 18:50:04,2020-01-27,01,2020-01,2023-03-01 08:50:01.670725
66,66,256,Confirmed,2020-04-23 7:37:03,2020-04-23,04,2020-04,2023-03-01 08:50:01.670725
67,67,156,Confirmed,2020-11-05 2:14:55,2020-11-05,11,2020-11,2023-03-01 08:50:01.670725
68,68,156,Review,2020-08-17 1:24:48,2020-08-17,08,2020-08,2023-03-01 08:50:01.670725
69,69,256,Review,2020-01-20 18:40:16,2020-01-20,01,2020-01,2023-03-01 08:50:01.670725
70,70,156,Confirmed,2020-02-03 13:23:31,2020-02-03,02,2020-02,2023-03-01 08:50:01.670725
71,71,156,Canceled,2020-02-20 2:57:06,2020-02-20,02,2020-02,2023-03-01 08:50:01.670725
72,72,256,Canceled,2020-02-24 20:09:11,2020-02-24,02,2020-02,2023-03-01 08:50:01.670725
73,73,256,Confirmed,2021-05-13 9:20:31,2021-05-13,05,2021-05,2023-03-01 08:50:01.670725
74,74,156,Canceled,2020-01-27 2:05:22,2020-01-27,01,2020-01,2023-03-01 08:50:01.670725
75,75,256,Confirmed,2020-05-13 18:50:52,2020-05-13,05,2020-05,2023-03-01 08:50:01.670725
76,76,156,Canceled,2020-06-08 3:31:34,2020-06-08,06,2020-06,2023-03-01 08:50:01.670725
77,77,156,Confirmed,2020-07-08 14:07:33,2020-07-08,07,2020-07,2023-03-01 08:50:01.670725
78,78,156,Canceled,2020-03-20 6:36:07,2020-03-20,03,2020-03,2023-03-01 08:50:01.670725
79,79,156,Canceled,2021-01-04 5:01:39,2021-01-04,01,2021-01,2023-03-01 08:50:01.670725
80,80,156,Canceled,2020-09-01 15:47:35,2020-09-01,09,2020-09,2023-03-01 08:50:01.670725
81,81,256,Canceled,2020-04-07 22:16:20,2020-04-07,04,2020-04,2023-03-01 08:50:01.670725
82,82,256,Confirmed,2021-01-26 19:22:13,2021-01-26,01,2021-01,2023-03-01 08:50:01.670725
83,83,156,Canceled,2020-08-08 9:11:09,2020-08-08,08,2020-08,2023-03-01 08:50:01.670725
84,84,256,Canceled,2020-03-14 4:11:26,2020-03-14,03,2020-03,2023-03-01 08:50:01.670725
85,85,256,Canceled,2020-06-01 15:55:41,2020-06-01,06,2020-06,2023-03-01 08:50:01.670725
86,86,256,Confirmed,2020-01-21 1:14:42,2020-01-21,01,2020-01,2023-03-01 08:50:01.670725
87,87,156,Review,2020-01-06 16:38:15,2020-01-06,01,2020-01,2023-03-01 08:50:01.670725
88,88,156,Canceled,2021-03-21 1:29:15,2021-03-21,03,2021-03,2023-03-01 08:50:01.670725
89,89,256,Canceled,2020-01-28 18:19:33,2020-01-28,01,2020-01,2023-03-01 08:50:01.670725
90,90,256,Canceled,2020-03-14 14:38:40,2020-03-14,03,2020-03,2023-03-01 08:50:01.670725
91,91,256,Canceled,2020-05-07 11:37:24,2020-05-07,05,2020-05,2023-03-01 08:50:01.670725
92,92,256,Confirmed,2020-02-26 18:00:59,2020-02-26,02,2020-02,2023-03-01 08:50:01.670725
93,93,256,Confirmed,2020-01-23 22:33:33,2020-01-23,01,2020-01,2023-03-01 08:50:01.670725
94,94,156,Confirmed,2020-06-25 12:57:24,2020-06-25,06,2020-06,2023-03-01 08:50:01.670725
95,95,256,Confirmed,2020-08-04 0:06:27,2020-08-04,08,2020-08,2023-03-01 08:50:01.670725
96,96,256,Review,2020-01-02 20:03:37,2020-01-02,01,2020-01,2023-03-01 08:50:01.670725
97,97,256,Confirmed,2020-06-26 11:14:25,2020-06-26,06,2020-06,2023-03-01 08:50:01.670725
98,98,256,Canceled,2021-06-02 17:19:32,2021-06-02,06,2021-06,2023-03-01 08:50:01.670725
99,99,256,Confirmed,2021-06-03 14:55:35,2021-06-03,06,2021-06,2023-03-01 08:50:01.670725
100,100,256,Confirmed,2021-06-03 0:35:43,2021-06-03,06,2021-06,2023-03-01 08:50:01.670725
101,101,156,Review,2021-05-31 18:57:20,2021-05-31,05,2021-05,2023-03-01 08:50:01.670725
102,102,156,Confirmed,2021-06-03 14:30:01,2021-06-03,06,2021-06,2023-03-01 08:50:01.670725
103,103,156,Canceled,2021-04-21 16:29:22,2021-04-21,04,2021-04,2023-03-01 08:50:01.670725
104,104,156,Canceled,2021-05-05 2:52:10,2021-05-05,05,2021-05,2023-03-01 08:50:01.670725
105,105,256,Confirmed,2021-04-06 15:04:16,2021-04-06,04,2021-04,2023-03-01 08:50:01.670725
106,106,156,Canceled,2020-05-26 11:57:00,2020-05-26,05,2020-05,2023-03-01 08:50:01.670725
107,107,156,Confirmed,2021-06-04 3:49:10,2021-06-04,06,2021-06,2023-03-01 08:50:01.670725
108,108,256,Confirmed,2020-05-22 2:38:37,2020-05-22,05,2020-05,2023-03-01 08:50:01.670725
109,109,156,Confirmed,2021-06-06 13:09:10,2021-06-06,06,2021-06,2023-03-01 08:50:01.670725
110,110,256,Confirmed,2021-06-03 21:33:34,2021-06-03,06,2021-06,2023-03-01 08:50:01.670725
111,111,256,Confirmed,2021-05-27 16:39:49,2021-05-27,05,2021-05,2023-03-01 08:50:01.670725
112,112,256,Confirmed,2021-05-28 13:21:04,2021-05-28,05,2021-05,2023-03-01 08:50:01.670725
113,113,156,Confirmed,2020-06-27 15:33:55,2020-06-27,06,2020-06,2023-03-01 08:50:01.670725
114,114,256,Confirmed,2021-06-03 0:57:39,2021-06-03,06,2021-06,2023-03-01 08:50:01.670725
115,115,156,Confirmed,2021-05-28 14:00:13,2021-05-28,05,2021-05,2023-03-01 08:50:01.670725
116,116,256,Confirmed,2021-05-28 1:51:37,2021-05-28,05,2021-05,2023-03-01 08:50:01.670725
117,117,156,Review,2021-05-12 21:26:12,2021-05-12,05,2021-05,2023-03-01 08:50:01.670725
118,118,256,Confirmed,2021-06-04 19:28:59,2021-06-04,06,2021-06,2023-03-01 08:50:01.670725
119,119,256,Review,2021-05-26 9:16:52,2021-05-26,05,2021-05,2023-03-01 08:50:01.670725
120,120,156,Confirmed,2021-03-12 12:20:53,2021-03-12,03,2021-03,2023-03-01 08:50:01.670725
121,121,256,Review,2020-01-15 8:48:06,2020-01-15,01,2020-01,2023-03-01 08:50:01.670725
122,122,256,Canceled,2020-04-26 3:32:31,2020-04-26,04,2020-04,2023-03-01 08:50:01.670725
123,123,256,Canceled,2020-02-05 9:11:21,2020-02-05,02,2020-02,2023-03-01 08:50:01.670725
124,124,256,Canceled,2020-05-17 21:20:49,2020-05-17,05,2020-05,2023-03-01 08:50:01.670725
125,125,156,Confirmed,2020-03-05 1:41:20,2020-03-05,03,2020-03,2023-03-01 08:50:01.670725
126,126,156,Canceled,2020-04-14 16:22:22,2020-04-14,04,2020-04,2023-03-01 08:50:01.670725
127,127,156,Canceled,2020-04-17 18:20:33,2020-04-17,04,2020-04,2023-03-01 08:50:01.670725
128,128,156,Canceled,2020-05-29 0:12:16,2020-05-29,05,2020-05,2023-03-01 08:50:01.670725
129,129,156,Canceled,2020-01-22 11:58:37,2020-01-22,01,2020-01,2023-03-01 08:50:01.670725
130,130,156,Canceled,2020-03-16 1:28:37,2020-03-16,03,2020-03,2023-03-01 08:50:01.670725
131,131,156,Confirmed,2020-01-16 4:46:43,2020-01-16,01,2020-01,2023-03-01 08:50:01.670725
132,132,256,Review,2020-03-29 5:00:49,2020-03-29,03,2020-03,2023-03-01 08:50:01.670725
133,133,256,Canceled,2020-03-25 20:55:52,2020-03-25,03,2020-03,2023-03-01 08:50:01.670725
134,134,156,Canceled,2020-03-30 15:55:53,2020-03-30,03,2020-03,2023-03-01 08:50:01.670725
135,135,156,Canceled,2020-03-18 20:59:28,2020-03-18,03,2020-03,2023-03-01 08:50:01.670725
136,136,156,Canceled,2020-03-22 16:42:09,2020-03-22,03,2020-03,2023-03-01 08:50:01.670725
137,137,256,Canceled,2020-03-31 6:46:22,2020-03-31,03,2020-03,2023-03-01 08:50:01.670725
138,138,156,Canceled,2020-02-23 12:50:02,2020-02-23,02,2020-02,2023-03-01 08:50:01.670725
139,139,256,Confirmed,2020-01-02 15:23:54,2020-01-02,01,2020-01,2023-03-01 08:50:01.670725
140,140,156,Canceled,2020-03-05 3:57:39,2020-03-05,03,2020-03,2023-03-01 08:50:01.670725
141,141,256,Canceled,2020-06-11 1:46:07,2020-06-11,06,2020-06,2023-03-01 08:50:01.670725
142,142,256,Canceled,2020-09-15 8:55:09,2020-09-15,09,2020-09,2023-03-01 08:50:01.670725
143,143,156,Confirmed,2020-10-16 20:30:18,2020-10-16,10,2020-10,2023-03-01 08:50:01.670725
144,144,156,Canceled,2020-03-13 15:02:45,2020-03-13,03,2020-03,2023-03-01 08:50:01.670725
145,145,156,Canceled,2020-04-01 10:59:22,2020-04-01,04,2020-04,2023-03-01 08:50:01.670725
146,146,156,Canceled,2020-02-03 15:04:28,2020-02-03,02,2020-02,2023-03-01 08:50:01.670725
147,147,156,Canceled,2020-03-10 17:14:39,2020-03-10,03,2020-03,2023-03-01 08:50:01.670725
148,148,156,Canceled,2020-01-19 18:27:50,2020-01-19,01,2020-01,2023-03-01 08:50:01.670725
149,149,156,Confirmed,2020-01-08 20:26:27,2020-01-08,01,2020-01,2023-03-01 08:50:01.670725
150,150,256,Canceled,2020-05-18 17:08:14,2020-05-18,05,2020-05,2023-03-01 08:50:01.670725
151,151,156,Canceled,2020-04-27 17:57:38,2020-04-27,04,2020-04,2023-03-01 08:50:01.670725
152,152,156,Confirmed,2020-01-03 22:09:56,2020-01-03,01,2020-01,2023-03-01 08:50:01.670725
153,153,156,Canceled,2020-01-05 16:09:45,2020-01-05,01,2020-01,2023-03-01 08:50:01.670725
154,154,256,Canceled,2020-02-04 4:15:48,2020-02-04,02,2020-02,2023-03-01 08:50:01.670725
155,155,256,Canceled,2021-02-25 14:56:42,2021-02-25,02,2021-02,2023-03-01 08:50:01.670725
156,156,156,Canceled,2020-03-23 9:16:42,2020-03-23,03,2020-03,2023-03-01 08:50:01.670725
157,157,256,Canceled,2020-04-29 1:01:39,2020-04-29,04,2020-04,2023-03-01 08:50:01.670725
158,158,156,Confirmed,2020-01-27 12:33:13,2020-01-27,01,2020-01,2023-03-01 08:50:01.670725
159,159,256,Confirmed,2020-07-21 9:04:36,2020-07-21,07,2020-07,2023-03-01 08:50:01.670725
160,160,256,Confirmed,2020-01-09 8:50:00,2020-01-09,01,2020-01,2023-03-01 08:50:01.670725
161,161,256,Confirmed,2020-01-03 7:30:26,2020-01-03,01,2020-01,2023-03-01 08:50:01.670725
162,162,256,Confirmed,2020-01-05 4:13:03,2020-01-05,01,2020-01,2023-03-01 08:50:01.670725
163,163,256,Confirmed,2020-01-02 14:10:38,2020-01-02,01,2020-01,2023-03-01 08:50:01.670725
164,164,256,Canceled,2020-06-22 0:48:19,2020-06-22,06,2020-06,2023-03-01 08:50:01.670725
165,165,156,Canceled,2020-02-17 0:24:21,2020-02-17,02,2020-02,2023-03-01 08:50:01.670725
166,166,156,Confirmed,2020-06-19 10:22:51,2020-06-19,06,2020-06,2023-03-01 08:50:01.670725
167,167,256,Canceled,2020-12-07 6:40:46,2020-12-07,12,2020-12,2023-03-01 08:50:01.670725
168,168,156,Canceled,2020-01-21 14:39:17,2020-01-21,01,2020-01,2023-03-01 08:50:01.670725
169,169,256,Confirmed,2020-01-02 12:37:14,2020-01-02,01,2020-01,2023-03-01 08:50:01.670725
170,170,256,Confirmed,2020-05-21 2:09:01,2020-05-21,05,2020-05,2023-03-01 08:50:01.670725
171,171,156,Confirmed,2020-06-29 3:47:49,2020-06-29,06,2020-06,2023-03-01 08:50:01.670725
172,172,256,Review,2020-01-03 16:35:25,2020-01-03,01,2020-01,2023-03-01 08:50:01.670725
173,173,156,Confirmed,2020-01-12 13:40:45,2020-01-12,01,2020-01,2023-03-01 08:50:01.670725
174,174,156,Confirmed,2020-01-03 0:38:08,2020-01-03,01,2020-01,2023-03-01 08:50:01.670725
175,175,156,Confirmed,2020-01-12 23:08:04,2020-01-12,01,2020-01,2023-03-01 08:50:01.670725
176,176,156,Canceled,2020-01-02 17:07:35,2020-01-02,01,2020-01,2023-03-01 08:50:01.670725
177,177,256,Confirmed,2021-05-21 22:37:44,2021-05-21,05,2021-05,2023-03-01 08:50:01.670725
178,178,156,Confirmed,2020-01-13 20:45:48,2020-01-13,01,2020-01,2023-03-01 08:50:01.670725
179,179,256,Confirmed,2020-01-05 15:15:18,2020-01-05,01,2020-01,2023-03-01 08:50:01.670725
180,180,156,Confirmed,2020-01-05 9:03:16,2020-01-05,01,2020-01,2023-03-01 08:50:01.670725
181,181,156,Confirmed,2020-01-15 20:51:31,2020-01-15,01,2020-01,2023-03-01 08:50:01.670725
182,182,156,Canceled,2020-01-13 17:27:25,2020-01-13,01,2020-01,2023-03-01 08:50:01.670725
183,183,256,Confirmed,2020-01-03 11:28:33,2020-01-03,01,2020-01,2023-03-01 08:50:01.670725
184,184,156,Canceled,2020-04-03 10:15:03,2020-04-03,04,2020-04,2023-03-01 08:50:01.670725
185,185,156,Canceled,2020-01-08 2:31:53,2020-01-08,01,2020-01,2023-03-01 08:50:01.670725
186,186,156,Canceled,2020-02-16 20:51:54,2020-02-16,02,2020-02,2023-03-01 08:50:01.670725
187,187,156,Confirmed,2020-01-15 6:04:34,2020-01-15,01,2020-01,2023-03-01 08:50:01.670725
188,188,256,Confirmed,2020-01-10 18:47:15,2020-01-10,01,2020-01,2023-03-01 08:50:01.670725
189,189,256,Canceled,2020-06-08 10:53:41,2020-06-08,06,2020-06,2023-03-01 08:50:01.670725
190,190,256,Confirmed,2020-01-10 12:29:47,2020-01-10,01,2020-01,2023-03-01 08:50:01.670725
191,191,156,Canceled,2020-04-27 17:13:52,2020-04-27,04,2020-04,2023-03-01 08:50:01.670725
192,192,156,Confirmed,2020-01-05 17:53:01,2020-01-05,01,2020-01,2023-03-01 08:50:01.670725
193,193,156,Confirmed,2020-01-06 15:53:37,2020-01-06,01,2020-01,2023-03-01 08:50:01.670725
194,194,256,Confirmed,2020-01-10 7:17:37,2020-01-10,01,2020-01,2023-03-01 08:50:01.670725
195,195,156,Confirmed,2020-01-06 19:54:47,2020-01-06,01,2020-01,2023-03-01 08:50:01.670725
196,196,156,Confirmed,2020-01-06 15:49:05,2020-01-06,01,2020-01,2023-03-01 08:50:01.670725
197,197,256,Confirmed,2021-03-30 20:50:23,2021-03-30,03,2021-03,2023-03-01 08:50:01.670725
198,198,156,Canceled,2021-04-03 10:52:12,2021-04-03,04,2021-04,2023-03-01 08:50:01.670725
199,199,256,Confirmed,2021-02-13 17:24:14,2021-02-13,02,2021-02,2023-03-01 08:50:01.670725
